CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CASE_6	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	width
SRRM4	3934	13232	3813	0	0	0	1408	7963	1818	22	0	0	181557
METTL21C	68	0	41	0	0	0	0	0	0	0	0	0	8761
MBNL2	178364	461205	261293	51	150	301	98306	194998	129136	149	0	140	172687
RNF113B	0	0	0	0	0	0	0	0	0	0	0	0	1481
ZIC5	0	0	0	0	0	0	0	0	0	0	0	0	8946
ABHD13	21306	32357	26022	34	0	23	13136	28853	13476	68	0	56	15877
RAB20	26844	39589	23584	25	0	0	5345	14662	12712	0	0	28	38668
GRTP1	1636	4002	1800	0	0	0	1010	2690	1010	0	0	0	39985
CUL4A	248152	449753	485687	117	64	334	184025	486538	246538	69	65	107	58916
TTC6	0	0	0	0	0	0	0	0	0	0	0	0	445596
SSTR1	1616	4037	5562	0	0	0	605	4776	605	0	20	0	5069
CDH24	5351	3930	6634	0	0	0	4673	7640	2986	0	0	0	10477
REM2	303	1010	291	0	0	0	0	834	202	21	0	0	4522
CBLN3	5993	9980	9967	0	0	0	2622	9586	2325	0	0	0	4423
TSSK4	3511	9415	5961	0	0	0	2644	5526	2352	0	0	0	2666
NOVA1	12919	18884	14060	0	0	0	4602	8833	5250	0	0	0	154662
FITM1	50784	156915	185163	107	56	55	92080	229868	85979	0	21	22	1575
MDGA2	202	49	0	0	0	0	0	202	0	0	0	0	834863
TMX1	21163	34682	25581	0	0	87	12107	28364	14246	22	0	0	17385
FRMD6	22402	31942	52905	0	24	34	18118	30386	11309	22	24	0	241628
PELI2	7194	38183	20972	21	0	41	4359	15099	3832	0	73	0	183713
RTN1	2218	5537	3886	0	0	0	1210	1818	1212	0	0	0	274991
C14ORF37	10667	22436	27932	81	0	21	14181	23065	9006	45	21	44	298405
SYT16	0	99	0	34	0	0	0	0	0	0	0	0	300577
SLC38A6	4493	6628	7954	0	28	0	4365	5545	2323	0	0	0	102620
NAA30	50434	83697	88294	0	64	300	35463	101426	52166	52	32	48	25374
ADAM21	404	832	1713	0	0	0	202	687	202	0	0	0	7743
RDH12	0	0	412	0	0	0	403	202	202	0	0	0	32567
DCAF5	221810	293837	276755	70	67	175	107973	263845	145006	0	70	47	102270
RAB15	221596	100437	67998	43	21	62	25723	86849	119559	0	0	39	26963
WDR89	8876	13881	13321	0	0	0	5035	14027	5050	0	0	0	44823
ESR2	4305	2222	5287	0	0	0	2163	4461	695	0	0	0	253881
KCNH5	0	0	0	0	0	0	0	0	0	0	0	0	402584
STON2	2288	6261	13070	50	0	31	3392	3629	1440	21	0	0	175810
EFCAB11	2490	4349	5353	0	0	25	780	3021	1207	0	0	0	160109
GPR65	404	1614	2771	0	0	26	805	1413	1196	0	0	0	9688
PTGR2	72017	110861	141915	40	0	80	53749	118958	52926	79	0	102	34984
JDP2	45181	66499	33646	22	25	104	20242	38349	24441	49	0	79	46396
AK7	786	404	1412	0	0	0	201	202	0	0	0	0	97317
FAM181A	280	0	403	0	0	0	202	196	0	0	0	0	10715
SLC24A4	1881	5539	3168	0	0	92	2172	4317	641	0	0	0	178903
FBLN5	235847	382677	212023	55	22	258	99697	258579	82176	69	96	85	78576
SERPINA10	0	0	0	0	0	0	0	0	0	0	0	0	12817
CLBA1	4960	7901	10079	0	0	0	2531	5881	3932	0	0	0	24708
WARS	177621	493728	301766	21	108	211	212979	362923	178953	42	100	83	43018
SLC25A47	0	0	0	0	0	0	0	0	0	0	0	0	7042
WDR20	29405	57461	44085	0	4	25	16882	42993	21555	0	20	121	85345
NIPA2	70533	67660	47987	50	0	0	20775	47664	27637	0	0	23	29744
SLC12A6	54395	144769	171323	0	0	220	65455	114498	57302	74	21	169	108065
DUOXA1	2713	1228	1186	0	0	0	201	1518	184	0	0	0	12572
MFAP1	44769	82752	70167	27	0	30	31237	71694	38511	49	0	189	20311
TCF12	76570	131319	155880	0	52	193	49943	108180	52535	23	45	27	380659
SORD	9235	14024	26449	0	0	0	12174	23718	12563	0	0	0	54082
SERF2	372948	619989	540641	0	22	199	276248	632111	395019	0	91	180	25503
ZSCAN29	32298	45873	48492	0	0	64	16084	40775	23078	0	0	28	12854
DUOXA2	1106	772	516	0	0	0	0	508	124	0	0	0	4101
DUOX2	2922	11026	5344	0	0	0	2002	1208	4012	0	0	0	21695
LYSMD2	2727	6860	10498	0	31	0	2623	7696	4606	0	0	0	28575
SLC27A2	202	1212	0	0	0	0	0	0	0	0	0	0	54200
FGF7	10477	29574	65959	0	30	0	58683	80936	22350	0	0	59	65680
HDC	3566	4062	3157	0	0	0	0	1513	1414	0	0	0	24080
GCNT3	202	500	534	0	0	0	0	0	338	0	0	0	45365
BNIP2	119027	242201	219740	0	22	167	90386	200624	108144	79	47	105	30389
GTF2A2	34653	73713	50030	24	0	34	27116	55609	36413	0	84	0	19480
SRP14	278577	542994	461622	22	0	64	197083	449452	267597	65	47	0	3450
BAHD1	57181	83739	63222	50	0	141	27346	67639	27010	47	0	0	28522
DISP2	1065	961	3621	0	0	29	1775	2232	861	0	111	0	20405
CDAN1	23849	45177	24450	0	0	0	10627	33157	12544	27	0	0	13568
TLE3	31196	43217	24008	20	83	112	10823	30703	4306	23	23	57	50387
ANP32A	147684	279946	252012	99	0	175	112477	288611	125105	46	50	66	42363
COMMD4	26751	48747	35056	21	0	0	13326	42807	19856	0	34	0	7334
UBE2Q2	90595	130621	89913	75	29	58	39008	77779	42394	26	0	0	57794
PSTPIP1	2957	5445	3688	0	0	0	2252	3734	2143	0	0	0	43974
ETFA	392090	577708	574641	39	0	313	239972	557869	355530	0	157	60	96118
BCL2A1	202	5246	2059	0	0	0	0	202	202	0	0	0	10558
HMG20A	75350	131518	135211	25	0	169	42740	115058	69599	0	0	23	65196
SCAPER	60081	122736	130223	22	73	50	79057	114859	73972	64	0	59	557541
TSPAN3	203211	317874	210422	96	0	208	84310	228550	108145	0	74	0	42581
WDR61	34994	60929	56760	0	0	50	21306	56909	31100	0	0	0	21960
NCOA2	83664	149619	218709	20	0	371	89786	164367	120723	50	57	59	294044
NEIL1	64726	118874	83010	73	0	49	36001	89799	49343	0	0	59	10160
MAN2C1	240508	359571	278073	95	0	112	112788	267776	161441	50	0	62	13424
DNAJA4	713360	705867	405913	0	44	374	109318	505677	230670	0	0	48	18111
TLNRD1	40030	61054	35504	0	108	0	20998	38070	21018	21	74	38	4845
TPM1	13210701	21060275	14981226	1748	1299	5274	8724683	23709006	10268066	742	2862	1268	29284
IGF1R	184650	214535	248413	166	209	698	90273	235721	133508	22	43	100	315560
ARRDC4	153327	143241	41389	0	0	111	29761	70837	34885	0	26	0	13141
PIF1	2203	1804	2468	0	0	0	602	1306	404	0	0	0	10037
USP3	31382	55141	48647	47	54	27	17238	45545	19193	0	0	0	90130
CYP11A1	2980	4689	1680	0	0	0	729	988	832	0	0	0	29982
BBS4	22899	43437	47506	0	0	72	13450	39504	21502	0	0	25	52298
PML	87752	167334	105852	61	43	68	35631	95952	45699	0	22	40	53140
CYP1A1	575	2371	91350	0	0	0	202	606	808	0	0	23	6069
ADAMTS17	2753	4208	4040	0	0	21	202	4252	1175	0	0	0	370417
LINS1	11507	24712	18843	0	0	0	6763	17194	10999	39	0	46	43862
ULK3	48111	76661	81725	58	0	60	38605	95540	47807	0	0	38	7231
GOLGA6D	0	0	43	0	0	0	46	0	0	0	0	0	12973
PCSK6	136722	155757	142781	26	34	142	62627	136239	82087	59	34	80	228061
CCDC33	0	455	400	0	0	0	377	0	0	0	0	0	133768
CELF6	13269	28866	16269	0	0	0	6589	17981	3465	0	50	0	35403
SCAMP2	69729	105513	79165	0	0	63	41650	89889	38011	0	0	0	29636
CYP1A2	0	75	0	0	0	0	0	0	0	0	0	0	7359
LMAN1L	11603	26456	15533	0	0	0	29020	7869	37692	0	0	0	13043
HAPLN3	11664	17652	8200	0	0	0	3360	9553	3515	0	0	0	18339
RHCG	1138	202	626	0	0	0	199	0	202	0	0	0	25216
POLG	109547	172116	116508	61	0	130	44177	136365	70447	84	0	28	29664
RLBP1	208	0	123	0	0	0	0	0	0	0	0	0	11883
FANCI	14591	23411	16913	0	0	0	7827	21125	10813	54	0	0	73313
ABHD2	654984	941514	398370	226	87	610	111829	447774	462514	28	46	50	114902
WDR93	14	789	269	0	0	0	0	0	0	0	0	0	52842
TICRR	5002	8302	3547	0	0	0	1827	2237	1480	0	0	0	55575
NTRK3	13102	49678	22567	0	0	20	8019	14300	8353	29	0	0	397018
DET1	15290	27862	28490	0	24	27	10223	24271	12035	27	0	0	52236
MFGE8	1220508	1368768	813289	122	137	390	348064	1067472	555916	22	0	34	14729
ZNF710	63869	104903	135633	21	0	227	39460	106512	48831	44	84	46	80815
UNC45A	65168	103335	74622	0	71	88	36049	79239	33022	22	0	27	23914
ST8SIA2	35778	31396	9411	0	25	0	5207	45213	8178	0	0	0	74901
MCTP2	808	1615	1340	0	0	0	606	1413	1414	0	0	0	252415
FURIN	213452	320256	211640	0	49	147	103878	259153	137213	0	23	71	14867
IQGAP1	141124	303687	257282	0	112	462	129928	238336	137722	239	313	210	114026
CRTC3	98981	184134	138967	23	92	195	41857	122787	68054	0	63	21	115421
EFL1	34383	62379	55326	21	23	20	27261	51876	24909	0	0	44	132534
SH3GL3	0	98	0	0	0	0	0	0	0	0	0	0	171516
SEC11A	66836	114917	112304	20	32	21	53575	107625	65306	33	0	67	47179
SEPT12	0	412	0	0	0	0	225	27	0	0	0	0	10853
GLYR1	212335	343691	324700	49	0	209	137457	292479	179562	65	57	55	44140
PMM2	28335	39083	32586	0	0	114	14635	40989	27130	0	0	0	60509
SLC5A2	40576	54541	42076	0	20	23	20150	52597	26217	0	0	22	7859
ITGAX	10134	30466	16926	0	0	24	1795	8861	5418	0	0	0	27864
TGFB1I1	39634	54374	36511	63	0	0	19005	28198	22064	0	22	0	6376
C16ORF58	81522	114298	84613	0	19	23	37597	110689	53525	0	0	43	19839
ARMC5	20155	35723	22395	24	21	47	6787	16921	11984	40	0	91	9087
PARN	41582	93576	80860	48	64	24	25409	81420	34881	21	0	0	197028
FTO	92692	183542	153493	119	53	135	43658	172874	69762	0	0	0	456821
UQCRC2	978438	1594800	1735471	175	93	469	713525	1777882	1036392	33	149	191	31001
CDR2	24831	41731	25615	0	0	40	14143	20512	15502	0	0	21	91230
IGSF6	1915	5004	6983	0	0	0	2028	1670	1006	0	0	33	13124
ARHGAP17	103897	267673	167427	24	78	89	63016	125140	78745	63	0	96	96282
MYLK3	246398	852369	1305183	99	44	1128	591070	1104521	522359	23	155	120	87039
ABCC12	404	808	0	0	0	0	202	404	0	0	0	0	73046
NKD1	5125	21914	3873	0	0	0	2018	1605	3230	0	26	0	100920
DHX38	136101	242849	172569	0	30	117	65720	161494	85239	0	0	21	19351
TXNL4B	16867	58370	18535	0	0	0	5539	25315	12653	0	0	0	50143
MARVELD3	505	841	229	0	0	0	202	431	707	0	0	0	15954
CHST4	0	0	0	0	0	0	0	0	0	0	0	0	13514
ZFHX3	63988	125574	154298	242	402	462	40044	83988	63800	418	280	350	361563
CLEC18B	148	409	273	0	0	0	495	353	202	0	0	0	13684
CPNE2	25986	41528	41980	54	0	50	22259	33424	17587	21	0	40	55831
NLRC5	26574	65947	55343	9	20	44	15385	31559	16503	43	39	27	94047
KATNB1	16556	28218	26080	21	0	42	8958	25531	11296	0	0	21	21521
KIFC3	146148	141179	168066	21	0	241	82727	169187	85838	22	56	0	104837
ADAMTS18	0	0	0	0	0	0	0	0	0	0	0	0	187302
NUDT7	19221	35769	47929	0	45	0	22538	58424	21696	0	0	0	19769
GCSH	11426	22263	31516	0	0	0	10772	25435	20228	0	0	0	14488
CMTM3	29675	27471	23479	0	0	36	13792	26796	11571	0	23	62	10019
CMTM2	0	1615	1005	0	0	0	0	202	0	0	0	0	8828
CDH11	46993	31964	34364	50	34	0	14094	22695	8073	0	30	0	182360
NOL3	86923	151982	109082	34	23	137	53915	152583	76872	0	0	43	5582
MAP1LC3B	229658	416791	295748	8118	8053	49130	136992	416916	181960	6393	9274	18390	20785
MBTPS1	274656	391009	390993	667	628	1605	152230	331373	165050	701	1180	1114	63146
CDH13	450745	469090	503980	0	71	256	260666	548675	160406	20	109	35	1173838
ZCCHC14	55451	89646	107110	21	0	215	33730	76606	42463	22	0	110	85800
TLDC1	9635	18337	17084	62	33	46	6529	13837	8491	0	0	0	77613
ADAD2	1298	202	1622	0	0	22	404	5372	137	0	0	0	6031
OSGIN1	4260	10517	6818	21	0	40	2708	12028	4456	0	0	0	18051
IRF8	3689	7643	16609	0	0	0	1305	4620	2621	0	33	0	23807
RHOT2	115724	201553	186787	50	0	26	79536	204878	113917	49	55	0	6089
RPL3L	284846	561661	529920	0	0	115	286405	762889	312263	36	50	68	13633
ZSCAN32	15283	31181	25589	0	0	23	10758	32210	17095	0	21	0	18985
RPS2	354028	521416	309431	392	341	1461	205333	586592	257480	274	509	733	2809
NDUFB10	245209	455969	523712	0	103	120	210125	522048	314035	53	60	145	2468
PDPK1	118927	181672	174364	47	22	364	74936	179903	92703	21	0	33	65225
TIGD7	24361	44755	30821	0	0	34	14954	41329	20330	24	0	53	6898
DEF8	51158	102204	81885	0	0	22	37498	91343	48094	0	0	21	20136
TCF25	143347	233464	185805	81	34	102	81051	191499	101655	0	59	26	40058
GALNS	32356	42508	40003	0	0	21	20203	40302	17761	0	0	20	43237
GAS8	53433	73497	68923	56	42	0	28835	110442	50441	0	50	20	25347
MED9	65228	90801	95360	23	24	0	35575	88038	53369	0	0	22	16241
NCOR1	156026	248948	293555	196	271	348	110769	253916	131124	211	225	248	189029
COPS3	83556	156957	134530	23	0	141	58995	149456	77811	0	23	0	34474
GID4	42245	65126	60097	23	0	100	32730	60031	31128	0	33	0	29113
ZNF287	10916	15567	17059	0	0	46	5553	18008	7066	0	0	0	17820
MYOCD	69548	96178	213719	29	0	378	46527	110457	61879	0	0	91	103060
KSR1	28993	43206	36409	0	21	0	18558	37393	14726	0	25	40	169725
UTP4	40442	80761	56971	72	22	0	24910	52128	29754	0	20	0	99840
RANBP10	59490	88265	68510	31	35	113	31217	90464	30733	0	23	22	83587
CTRL	7092	9828	7218	0	0	46	3265	8552	3678	0	0	0	4775
DPEP3	76	345	134	0	0	0	0	306	202	0	0	0	5167
GFOD2	29505	38138	23449	0	0	0	11368	25834	14348	0	0	25	44891
NOB1	26483	42206	29793	0	0	0	10404	37997	20699	0	0	0	13074
PRPSAP2	17230	28643	24358	0	0	54	9756	30224	13376	22	37	31	91203
UNC45B	777170	901099	819911	41	90	604	371942	843695	454255	32	28	65	41529
PCTP	31932	43584	40787	0	0	34	17064	41877	26301	40	61	0	91852
OR4D1	0	0	0	0	0	0	0	0	0	0	0	0	11107
TOM1L1	18705	33650	35861	0	45	0	12136	30994	17031	20	0	0	62570
KIF2B	0	0	0	0	0	0	0	0	0	0	0	0	2313
C17ORF80	50127	84272	81314	0	44	98	29096	87659	40591	23	13	28	16715
TOB1	74759	174794	153271	102	182	297	61889	142512	60587	49	50	77	5756
VPS53	40278	96735	86427	30	26	210	35261	72987	36727	0	25	106	213050
SPATA22	449	3409	1028	0	0	0	807	1155	1894	0	0	0	73834
SGSM2	87823	161252	144674	0	22	131	66930	135143	61127	21	110	22	43561
NPEPPS	137297	253990	257553	119	0	220	115072	275952	117492	43	0	0	100335
SKAP1	0	1211	808	0	0	0	0	0	384	0	0	0	296836
LRRC46	768	782	1049	0	0	0	344	253	15	0	0	42	6087
SCRN2	39795	46738	56180	0	0	0	27543	49855	26925	0	0	0	3642
SSH2	85457	148187	158596	106	48	60	58349	143640	68909	0	57	169	304339
RHBDL3	1479	63982	606	0	0	0	3800	2952	541	0	0	0	58486
SPACA3	0	0	0	0	0	0	0	0	0	2	0	0	27502
ARSG	71831	79760	57874	0	23	92	21229	84552	41910	23	0	0	163550
ABCA8	109196	262525	568078	25	91	281	238564	434619	195858	106	103	77	88101
G6PC3	33599	53391	54902	23	0	38	22243	36967	29709	0	0	0	5610
CLTC	325713	386383	510838	268	217	1894	236974	462640	297572	307	206	520	77268
C17ORF64	0	0	0	0	0	5	0	0	0	0	0	0	38993
BCAS3	21911	58126	54247	24	26	69	21101	57074	23072	32	0	0	715386
PTRH2	17084	25206	30269	0	0	46	9748	28884	17880	0	0	45	32991
SS18	107752	173395	125410	67	37	31	46001	118977	68009	31	55	22	74965
TAF4B	5862	15587	7256	33	0	21	2423	5090	3028	0	0	0	165750
AFG3L2	188010	464693	495854	172	22	257	202199	574499	293178	70	66	80	48371
PRELID3A	1259	4552	3908	0	0	0	1414	3836	1313	0	0	0	24343
IMPA2	19631	39499	29358	23	0	73	26748	49955	21123	0	0	0	49859
GNAL	22302	28931	33146	0	0	50	17873	26979	17574	0	0	0	196730
SLC39A6	39170	56199	56152	0	39	0	22913	45494	27098	0	23	0	20854
RPRD1A	100774	142844	147096	0	40	165	62196	144030	76322	0	45	0	83190
C18ORF21	11103	20103	20108	0	21	107	6656	25220	9045	50	0	62	7204
GALNT1	75254	132415	114319	154	153	363	53216	95870	61313	86	22	43	130718
ASXL3	5629	7992	19879	0	21	0	4238	7514	5725	0	0	82	172616
ADCYAP1	1198	403	87	0	0	23	1415	606	1012	0	0	0	7230
MEP1B	141	202	0	0	0	0	0	250	0	0	0	0	35336
SLC25A52	302	0	0	0	0	0	0	0	0	0	0	0	1319
GAREM1	29875	65186	63111	45	0	32	29551	51202	20373	0	0	0	345608
ESCO1	16993	35520	43126	21	57	0	10242	36727	19950	0	0	0	71604
OSBPL1A	173233	332806	253360	65	0	456	117833	293113	129710	0	20	0	235837
GATA6	186169	254181	232658	71	70	216	76451	254319	108511	34	122	163	33086
GREB1L	25025	46847	28351	31	23	25	11614	42903	14414	23	0	0	283176
C18ORF8	34804	54354	28651	36	36	0	12186	39489	16818	39	0	21	28338
PELP1	65856	98305	84654	0	0	42	37195	91698	36357	0	20	54	34564
NPC1	53884	84871	58234	46	0	121	21961	58879	27667	24	28	0	80715
SLC14A1	14317	26103	79284	0	21	0	38310	52204	27151	0	0	0	28394
ARRB2	26141	76426	53027	20	0	100	20173	44745	21559	0	0	50	11011
SLC13A5	202	202	632	37	0	0	0	0	0	0	0	0	28855
ZMYND15	891	3081	3995	0	0	0	185	1077	605	0	0	0	6105
WRAP53	7600	15097	9238	42	32	103	2532	12754	4630	55	81	27	17432
MINK1	110439	196569	180706	46	69	170	82886	177201	93219	62	100	159	64674
SAT2	39248	66529	53669	22	47	0	31591	71941	34036	26	0	0	1643
ASGR1	1485	201	404	0	0	0	499	508	0	0	0	0	6134
PIK3R5	8607	19176	10738	0	0	85	3131	7535	5108	0	0	0	86802
TP53	19069	26854	24461	0	0	57	6804	27325	13236	0	25	0	25772
CCDC40	6883	18678	18011	0	0	15	9149	21937	9323	0	50	0	63982
ARHGDIA	184944	260889	174199	69	0	109	78458	204878	127911	62	0	0	3686
TMC6	119058	206539	74439	0	14	53	43761	170505	69014	0	25	21	21950
SLC16A3	16114	24847	11765	0	42	94	7932	14309	9182	0	0	24	32733
CARD14	1216	4542	2614	0	0	0	2190	3961	1066	0	0	0	39340
TTYH2	53264	100356	100043	0	18	99	47540	104966	68296	0	0	65	48507
RAB40B	37039	95537	54563	0	28	112	21738	53242	30644	0	0	0	43756
EIF4A3	35095	67132	52026	97	141	99	29331	53623	32679	125	0	43	11970
CSNK1D	212693	310485	210755	136	62	182	92989	207049	115187	22	0	69	34709
ANAPC11	50058	79443	64206	0	40	94	34193	89133	42217	0	0	0	10202
TBCD	138027	167405	125842	0	53	88	61342	157116	73246	0	55	0	193859
FN3KRP	24169	43984	37836	0	0	40	18130	34530	21677	0	0	0	13646
NARF	59475	127883	104162	23	45	159	38893	127860	56488	101	77	24	32358
RPTOR	75149	88879	87559	50	0	167	39630	85661	47294	0	23	44	421553
FOXK2	94371	147632	97481	23	0	145	53378	128662	62315	21	57	21	124950
TRIM65	21830	28420	32553	0	39	26	13256	35919	19624	0	44	61	16669
CBX8	6538	6821	11320	0	24	0	5440	8481	5256	0	0	0	9552
SECTM1	1003	12865	6834	0	0	21	2424	5234	3628	0	0	0	13051
RNF157	19482	52313	23445	0	0	0	19510	21500	26645	0	0	0	97921
CEP131	28553	48173	32395	0	0	0	15526	52257	15368	0	28	0	33407
ZNF750	2819	1911	2058	0	0	0	1196	3551	629	0	0	56	11144
WDR45B	110182	167551	119277	41	22	183	48661	131972	66211	0	0	26	33992
CBX4	48443	42129	68308	0	42	66	23485	68088	29051	22	0	54	6274
RNF165	2320	9139	17135	0	0	199	5917	10128	4759	25	67	120	136332
DYM	70434	113752	118281	104	116	73	48687	113792	56643	26	0	57	419874
MAPK4	209069	171277	117224	70	0	248	54666	122703	111109	0	0	20	171747
ELAC1	5096	9032	12362	0	0	34	3287	6818	5086	0	0	47	20131
MBD1	111224	175057	131471	0	22	140	58668	135831	66878	0	0	0	14893
SMAD4	125440	222139	175136	48	69	309	70095	187721	87532	0	50	122	56652
TNFRSF11A	3400	5651	5747	0	0	74	1616	2207	1010	25	0	0	66006
ZCCHC2	45900	59076	66748	80	78	190	24106	52959	30475	114	94	215	64703
FBXO15	55	0	606	0	0	0	161	202	0	0	0	0	74513
CBLN2	0	0	0	0	0	0	0	0	0	0	0	0	101842
PMAIP1	606	2019	1818	0	0	24	406	0	0	0	0	28	4359
P3H4	10506	7918	10376	0	0	0	4795	9365	6331	0	0	0	10658
NT5C3B	21024	40445	31564	0	0	0	13603	40325	18308	40	0	21	11083
RETREG3	41787	114859	83044	175	0	307	31258	80527	27935	5	0	29	31111
ERBB2	148414	275256	231766	256	60	111	115088	287823	101073	183	153	219	42513
GRB7	1967	3800	1010	0	0	0	987	2016	1071	0	0	0	9365
MIEN1	36584	49159	37724	24	32	24	16117	63955	25557	0	0	0	2292
PNMT	8866	26252	5243	0	0	0	3030	15088	4170	0	43	0	2495
ARL5C	193	202	202	0	0	0	0	0	202	0	0	0	10591
STAC2	3358	606	0	0	0	0	404	301	202	0	0	0	15337
IGFBP4	402195	531618	388472	52	41	213	140016	386559	236410	61	71	48	14271
FKBP10	54030	52825	39314	0	0	27	14047	31284	11304	0	0	0	10538
TXNL4A	37088	70854	58476	0	34	61	23626	71172	34283	0	0	37	63139
CACNA1A	9278	13930	7552	56	21	78	3641	6786	1650	24	0	0	426584
MISP3	5022	19014	14568	0	0	0	9343	21305	5026	0	0	0	2527
SAMD1	33529	54336	45956	0	0	21	28680	76203	20003	0	64	79	3197
BRD4	178818	304833	183565	41	90	136	66060	219076	89239	0	89	286	97027
SLC39A3	16569	27104	20320	0	0	0	12099	27222	17984	35	0	0	7949
NFIC	437345	683120	518232	258	20	924	247821	597332	270272	27	48	92	154815
TPGS1	6993	6108	13537	0	0	0	4239	12235	5148	33	0	26	12158
PLPP2	1204	1491	1010	0	0	0	905	2105	606	0	0	0	10465
ZIM3	0	0	0	24	0	0	0	0	0	0	0	20	11107
PRDM15	15998	20161	23716	0	0	0	10358	25911	13172	0	35	31	81258
PFKL	126108	145470	130262	24	94	101	65642	131048	68496	0	29	30	27326
FEM1A	216633	387337	329250	47	49	310	135192	419824	200542	29	69	22	9593
VAV1	2112	5455	5041	0	0	0	2296	3632	2220	0	0	0	84653
MVB12A	12657	21775	22209	28	0	0	9410	21591	10941	0	0	0	28003
CIB3	0	0	0	0	0	0	0	0	0	0	0	0	12158
AC008764.1	16296	24759	20964	0	0	31	5574	17300	8702	0	0	21	149138
SH3GL1	49521	68567	42181	0	30	0	21209	52155	24183	0	0	36	40178
DUS3L	28371	34290	25091	0	0	38	11402	38437	16016	0	0	0	6407
DPP9	126875	169663	138082	412	75	950	64015	176486	84129	280	123	459	49450
DMRTC2	0	0	0	0	0	0	0	0	0	0	0	0	7591
CCDC97	32047	58954	52523	0	26	0	26471	49763	28442	27	0	0	14695
TMEM91	8510	18450	7273	0	0	0	5090	9498	3136	0	3	0	33173
ZFP14	7970	19407	24938	0	0	11	8878	19211	8268	0	0	0	44747
SIRT3	49744	67642	81606	0	0	61	36322	104179	64092	0	0	76	21474
IFITM3	361365	483272	358147	0	84	134	173446	404449	259802	83	98	59	7869
PGGHG	55980	94771	34156	0	0	0	22253	51159	40552	0	0	0	6973
HUNK	2623	1414	1412	0	0	0	0	502	265	0	0	0	171319
COL6A1	779987	1065022	900414	68	59	473	396695	810506	467811	151	65	106	23314
IFNAR1	78672	125477	114628	20	0	37	48057	94675	53167	48	0	21	35386
SOD1	255311	532646	508439	0	94	211	211833	480968	275498	0	205	122	9310
COL6A2	846937	1175707	794171	102	112	700	354250	726387	396675	146	75	170	34753
SIK1	89139	127600	66835	0	21	91	33390	12059	45639	36	46	0	12614
DNMT3L	1	67	0	0	0	0	0	0	0	0	0	0	15878
TRPM2	4438	7709	5014	0	0	20	2259	5184	2519	0	0	0	92919
SCYL1	126607	176697	131091	0	26	80	63967	176068	79323	0	25	110	13628
TMEM50B	96792	156315	122506	0	26	42	51758	159313	58698	41	0	47	47527
APP	1274281	1895311	1708335	294	149	959	790296	1662931	722619	71	177	96	290579
DOPEY2	22771	31546	39519	30	32	78	28372	76376	36752	34	0	60	137493
URB1	143512	98022	89883	0	0	154	28461	127381	72063	44	77	42	82009
AKT1	344428	520584	367732	12	0	266	139919	420479	208993	0	50	103	26403
IL19	0	0	0	0	0	0	0	0	0	0	0	0	44112
EMP3	26309	43935	29189	22	32	0	25222	42757	24813	0	63	0	9045
SAE1	88278	137756	95650	25	0	20	43765	100565	55757	20	24	25	97363
NTN5	894	1924	1530	0	0	0	401	2503	202	0	0	0	11675
LMTK3	1009	3051	1878	0	0	0	808	924	1816	24	0	0	27919
GEMIN7	6523	12444	12162	0	0	45	5423	13288	7478	21	0	35	12330
CBLC	0	0	0	0	0	0	0	0	0	0	0	0	22766
WTIP	38294	78739	84120	29	0	0	25316	75584	26834	22	0	0	30667
ADAMTS10	30030	32751	34467	20	0	32	16423	29712	7550	0	0	0	30494
SLC6A3	202	0	606	0	0	0	0	0	0	0	0	0	52641
RNPEPL1	150881	205066	154429	42	40	419	90495	200070	97282	57	65	0	15569
CAPN10	33446	58638	47222	20	21	20	29773	54409	27798	24	0	84	30990
MYO1F	13143	33616	18264	24	0	46	7917	12928	9399	0	0	0	56788
ERVK3-1	45402	79587	65635	0	0	81	27212	61828	37362	0	0	31	10345
NLRP12	603	1868	1414	0	0	50	0	380	401	0	0	0	30792
CACNG8	201	1572	701	209	170	86	404	1005	182	86	85	69	27176
ZNF787	36623	46676	43285	0	0	0	21799	55647	33245	0	0	0	33915
TIMM29	11073	18222	20182	0	0	27	6266	23239	12744	25	0	0	4803
FBN3	0	202	348	0	0	0	202	360	0	0	0	0	84445
CARM1	74501	93874	99182	0	31	39	46959	105898	51288	20	0	20	51558
EVI5L	59344	74897	63843	0	0	207	31116	70568	44754	0	0	0	34744
TM4SF5	0	0	0	0	0	0	0	0	0	0	0	0	11330
SLC47A1	12759	20987	18258	0	30	47	9698	23754	5191	0	0	27	83650
PSMB6	101402	175814	140965	29	0	0	78585	173580	94181	0	21	0	2360
GPR32	0	0	0	0	0	0	0	0	0	0	0	0	1269
SIGLEC10	5451	3314	2183	0	0	0	0	1483	3373	0	0	48	7783
ACP4	97	0	0	0	0	0	0	0	0	0	0	0	4810
KLK3	0	0	0	0	0	0	0	0	0	0	0	0	5850
ZNF473	11353	14337	11805	50	40	0	5408	9459	7471	65	40	27	27701
FAM71E1	6964	12857	10726	0	0	0	4471	12764	7074	0	0	0	9969
RPS11	475068	899566	682391	1128	670	3465	315796	808165	356779	1572	1573	4387	3325
PTH2	0	0	0	0	0	0	0	0	0	0	0	0	1028
AC020909.1	1025	4091	2224	0	0	0	431	2349	716	0	0	0	12611
